bin_name,slice,cluster_id,sct_ncount
bin-258,56,0,0
bin-259,56,2,2
bin-260,56,2,2
bin-261,56,2,2
bin-262,56,2,2
bin-263,56,3,3
bin-264,56,21,21
bin-266,56,6,6
bin-267,56,5,5
bin-268,56,7,7
bin-269,56,7,7
bin-270,56,5,5
bin-271,56,5,5
bin-283,56,5,5
bin-284,56,7,7
bin-285,56,13,13
bin-286,56,26,26
bin-287,56,2,2
bin-288,56,2,2
bin-289,56,2,2
bin-290,56,2,2
bin-291,56,0,0
bin-292,56,0,0
bin-293,56,9,9
bin-294,56,0,0
bin-295,56,0,0
bin-296,56,0,0
bin-297,56,12,12
bin-298,56,0,0
bin-299,56,0,0
bin-300,56,12,12
bin-301,56,0,0
bin-302,56,0,0
bin-303,56,0,0
bin-304,56,0,0
bin-305,56,0,0
bin-306,56,2,2
bin-307,56,2,2
bin-308,56,2,2
bin-309,56,2,2
bin-310,56,28,28
bin-311,56,5,5
bin-312,56,5,5
bin-313,56,2,2
bin-314,56,3,3
bin-315,56,3,3
bin-316,56,3,3
bin-317,56,5,5
bin-328,56,5,5
bin-329,56,5,5
bin-330,56,2,2
bin-331,56,7,7
bin-332,56,2,2
bin-333,56,2,2
bin-334,56,2,2
bin-335,56,0,0
bin-336,56,0,0
bin-337,56,0,0
bin-338,56,0,0
bin-339,56,29,29
bin-340,56,0,0
bin-341,56,0,0
bin-342,56,0,0
bin-343,56,0,0
bin-344,56,0,0
bin-345,56,0,0
bin-346,56,0,0
bin-347,56,0,0
bin-348,56,0,0
bin-349,56,2,2
bin-350,56,0,0
bin-351,56,0,0
bin-352,56,2,2
bin-353,56,2,2
bin-354,56,2,2
bin-355,56,2,2
bin-356,56,3,3
bin-357,56,7,7
bin-358,56,3,3
bin-359,56,3,3
bin-360,56,3,3
bin-361,56,3,3
bin-362,56,3,3
bin-363,56,5,5
bin-364,56,5,5
bin-373,56,15,15
bin-374,56,6,6
bin-375,56,0,0
bin-376,56,22,22
bin-377,56,2,2
bin-378,56,2,2
bin-379,56,0,0
bin-380,56,0,0
bin-381,56,0,0
bin-382,56,0,0
bin-383,56,0,0
bin-384,56,25,25
bin-385,56,0,0
bin-386,56,0,0
bin-387,56,0,0
bin-388,56,0,0
bin-389,56,0,0
bin-390,56,8,8
bin-391,56,0,0
bin-392,56,0,0
bin-393,56,0,0
bin-394,56,0,0
bin-395,56,0,0
bin-396,56,0,0
bin-397,56,0,0
bin-398,56,2,2
bin-399,56,2,2
bin-400,56,2,2
bin-401,56,2,2
bin-402,56,3,3
bin-403,56,2,2
bin-404,56,3,3
bin-405,56,3,3
bin-406,56,3,3
bin-407,56,3,3
bin-408,56,3,3
bin-409,56,3,3
bin-410,56,5,5
bin-419,56,5,5
bin-420,56,2,2
bin-421,56,2,2
bin-422,56,2,2
bin-423,56,2,2
bin-424,56,0,0
bin-425,56,0,0
bin-426,56,0,0
bin-427,56,0,0
bin-428,56,0,0
bin-429,56,0,0
bin-430,56,0,0
bin-431,56,0,0
bin-432,56,0,0
bin-433,56,0,0
bin-434,56,33,33
bin-435,56,0,0
bin-436,56,0,0
bin-437,56,0,0
bin-438,56,0,0
bin-439,56,0,0
bin-440,56,0,0
bin-441,56,0,0
bin-442,56,0,0
bin-443,56,0,0
bin-444,56,0,0
bin-445,56,0,0
bin-446,56,2,2
bin-447,56,2,2
bin-448,56,2,2
bin-449,56,3,3
bin-450,56,3,3
bin-451,56,3,3
bin-452,56,3,3
bin-453,56,3,3
bin-454,56,3,3
bin-455,56,3,3
bin-456,56,3,3
bin-464,56,19,19
bin-465,56,2,2
bin-466,56,2,2
bin-467,56,24,24
bin-468,56,2,2
bin-469,56,2,2
bin-470,56,0,0
bin-471,56,0,0
bin-472,56,0,0
bin-473,56,0,0
bin-474,56,13,13
bin-475,56,0,0
bin-476,56,0,0
bin-477,56,0,0
bin-478,56,0,0
bin-479,56,0,0
bin-480,56,0,0
bin-481,56,0,0
bin-482,56,0,0
bin-483,56,0,0
bin-484,56,0,0
bin-485,56,0,0
bin-486,56,0,0
bin-487,56,0,0
bin-488,56,0,0
bin-489,56,0,0
bin-490,56,2,2
bin-491,56,2,2
bin-492,56,2,2
bin-493,56,2,2
bin-494,56,3,3
bin-495,56,3,3
bin-496,56,3,3
bin-497,56,3,3
bin-498,56,3,3
bin-499,56,3,3
bin-500,56,3,3
bin-501,56,5,5
bin-502,56,13,13
bin-509,56,5,5
bin-510,56,2,2
bin-511,56,2,2
bin-512,56,2,2
bin-513,56,22,22
bin-514,56,0,0
bin-515,56,0,0
bin-516,56,0,0
bin-517,56,0,0
bin-518,56,0,0
bin-519,56,0,0
bin-520,56,0,0
bin-521,56,0,0
bin-522,56,0,0
bin-523,56,1,1
bin-524,56,0,0
bin-525,56,26,26
bin-526,56,0,0
bin-527,56,0,0
bin-528,56,0,0
bin-529,56,8,8
bin-530,56,0,0
bin-531,56,28,28
bin-532,56,0,0
bin-533,56,0,0
bin-534,56,0,0
bin-535,56,0,0
bin-536,56,0,0
bin-537,56,1,1
bin-538,56,2,2
bin-539,56,2,2
bin-540,56,3,3
bin-541,56,3,3
bin-542,56,3,3
bin-543,56,3,3
bin-544,56,3,3
bin-545,56,3,3
bin-546,56,3,3
bin-547,56,5,5
bin-554,56,5,5
bin-555,56,6,6
bin-556,56,2,2
bin-557,56,22,22
bin-558,56,2,2
bin-559,56,0,0
bin-560,56,0,0
bin-561,56,0,0
bin-562,56,0,0
bin-563,56,0,0
bin-564,56,0,0
bin-565,56,0,0
bin-566,56,0,0
bin-567,56,0,0
bin-568,56,0,0
bin-569,56,0,0
bin-570,56,0,0
bin-571,56,0,0
bin-572,56,35,35
bin-573,56,0,0
bin-574,56,0,0
bin-575,56,0,0
bin-576,56,0,0
bin-577,56,0,0
bin-578,56,0,0
bin-579,56,0,0
bin-580,56,0,0
bin-581,56,0,0
bin-582,56,0,0
bin-583,56,2,2
bin-584,56,3,3
bin-585,56,2,2
bin-586,56,3,3
bin-587,56,3,3
bin-588,56,3,3
bin-589,56,3,3
bin-590,56,3,3
bin-591,56,3,3
bin-592,56,3,3
bin-593,56,3,3
bin-599,56,5,5
bin-600,56,14,14
bin-601,56,6,6
bin-602,56,2,2
bin-603,56,0,0
bin-604,56,0,0
bin-605,56,0,0
bin-606,56,0,0
bin-607,56,0,0
